"Timestamp","What year are you? ","What is your major/concentration?","Second concentration? (if none, select N/A)","Minor? (if none select N/A)","What class was the assignment for (Please write as said in BrightSpace)","What field of study was the assignment in?","What type of assignment was it?","Approximately how long did it take (in hours)","What was the extent of your reliance on external resources? ","Where did you primarily work on the assignment?","Did you work in a group?","Did you have to submit the assignment in person (physical copy)?","Approximately how many separate work sessions did you spend on this assignment? (1 or more)","Who referred you to this survey?"
"2025/10/20 9:20:52 PM EST","2027","Computer Science","Mathematics","N/A"," MA-UY MATH-UA 3014 333 2025 Fall 003 B","Mathematics","Problem Set","3","Textbook / class materials","At home/private setting","No","No","1","Kyle"
"2025/10/20 9:26:01 PM EST","2027","Finance","Data Science","Computer Science","CSCI-UA 310","Computer Science","Problem Set","4","Google/internet","School/library","No","No","2","Kyle"
"2025/10/20 9:28:55 PM EST","2026","Computer Engineering","N/A","Business Administration","Regression","Business Administration","Problem Set","2","Textbook / class materials","At home/private setting","No","No","1","Kyle"
"2025/10/20 9:34:24 PM EST","2026","Data Science","Computer Science","Business Administration","Applied Internet Technology ","Computer Science","Coding Assignment","5","AI / Chatgpt","School/library","No","No","3","Kyle"
"2025/10/20 9:35:26 PM EST","2026","Computer Science","Data Science","Business Administration","Data Management and Analysis ","Data Science","Coding Assignment","3","AI / Chatgpt","School/library","No","No","2","Kyle"
"2025/10/20 11:08:52 PM EST","2026","Computer Science","Data Science","Business Administration","Integration Essay 2","Business Administration","Creative Writing/Essay","1","Google/internet","At home/private setting","No","No","1","Kyle"
"2025/10/21 5:37:48 AM EST","2026","Finance","Marketing","N/A","Case Management","Marketing","Case Study","6","Google/internet","School/library","No","No","2","Kyle"
"2025/10/21 8:36:31 AM EST","2026","Public Policy","Data Science","Sustainability","Essay","Psychology","Creative Writing/Essay","2 ","Textbook / class materials","School/library","No","No","1","Kyle"
"2025/10/21 8:38:04 AM EST","2027","Finance","Management","Linguistics","FINC-UB 7","Finance","Problem Set","2","Textbook / class materials","At home/private setting","No","No","1","Raj"
"2025/10/21 10:17:14 AM EST","2027","Computer Science","Mathematics","Psychology","Calculus 3","Mathematics","Problem Set","2","Textbook / class materials","At home/private setting","No","No","1","Raj"
"2025/10/21 11:53:02 AM EST","2027","Finance","Data Science","N/A","EGB","Economics","Problem Set","5","AI / Chatgpt","At home/private setting","Yes","Yes","1","Raj"
"2025/10/21 1:14:08 PM EST","2027","Statistics","N/A","Biology","N/A","Biology","Problem Set","1","Textbook / class materials","At home/private setting","No","No","1","Raj"
"2025/10/21 1:33:34 PM EST","2027","Business Administration","N/A","N/A","FA25 Tech.Ub.1: Information Technology in Business & Society","Computer Science","Coding Assignment","1","Textbook / class materials","At home/private setting","No","No","1","Raj"
"2025/10/21 2:58:18 PM EST","2026","Management","Computer Science","N/A","DMA","Computer Science","Coding Assignment","0.5","Textbook / class materials","At home/private setting","No","No","1","Raj"
"2025/10/21 3:38:11 PM EST","2026","Psychology","Pre-Med / Biology (Health Sciences)","N/A","Contexts and Cultures: Islamic Societies","History","Creative Writing/Essay","5","Textbook / class materials","Other public setting (cafe, etc.)","No","No","5","Raj"
"2025/10/21 6:06:44 PM EST","2027","Business Administration","N/A","Public Policy","Module 12, Study Question","Legal Studies","Discussion post/short written assignment",".75","Google/internet","School/library","No","No","1","Raj"
"2025/10/23 6:05:31 PM EST","2029","Political Science","Economics","Mathematics","Discrete Math","Mathematics","Problem Set","6","AI / Chatgpt","School/library","No","No","3","Raj"
"2025/10/23 6:06:44 PM EST","2029","Political Science","Economics","Mathematics","Intro to Economic and Political Thought","English / Literature","Research Paper","5","Google/internet","At home/private setting","No","No","6","Raj"
"2025/10/23 6:07:51 PM EST","2029","Political Science","Economics","Mathematics","Intro to Economic and Political Thought","Political Science","Readings (textbooks or otherwise)","3","Textbook / class materials","At home/private setting","No","No","2","Raj"
"2025/10/23 6:08:50 PM EST","2028","Data Analytics","Marketing","English / Literature","Economy and Business of Singapore","Business Administration","Creative Writing/Essay","4","Textbook / class materials","At home/private setting","No","No","3","Raj"
"2025/10/23 6:09:11 PM EST","2028","Design / Graphic Design","N/A","N/A","Projects in Programming and Data Sciences","Data Science","Coding Assignment","10","Google/internet","School/library","Yes","No","1","Ndioro"
"2025/10/23 6:10:13 PM EST","2026","Management Information Systems (MIS)","N/A","N/A","Network Security","Information Technology","Discussion post/short written assignment","1 ","Google/internet","At home/private setting","No","No","1","Raj"
"2025/10/23 6:17:21 PM EST","2027","Business Administration","Data Science","Mathematics","Projects in Programming","Applied Mathematics","Modeling (financial, statistics, data)","3","AI / Chatgpt","At home/private setting","Yes","No","2","Raj"
"2025/10/23 6:19:19 PM EST","2028","Computer Science","N/A","N/A","Object Oriented Programming ","Computer Science","Coding Assignment","3","AI / Chatgpt","At home/private setting","No","No","2","Raj"
"2025/10/23 6:19:26 PM EST","2026","Marketing","Data Science","N/A","Movie Marketing","Marketing","Presentation/Slide deck","6","Google/internet","Other public setting (cafe, etc.)","No","No","4","Raj"
"2025/10/23 6:19:33 PM EST","2027","Business Administration","N/A","N/A","Data structures ","Computer Science","Coding Assignment","23","AI / Chatgpt","At home/private setting","Yes","No","6","Raj"
"2025/10/23 6:24:01 PM EST","2029","Finance","N/A","N/A","Data Bootcamp","Computer Science","Coding Assignment","3","AI / Chatgpt","School/library","No","No","2","Ethan"
"2025/10/23 6:24:44 PM EST","2029","Finance","Economics","N/A","Commerce and Culture","Economics","Creative Writing/Essay","5","Textbook / class materials","School/library","No","No","3","Ethan"
"2025/10/23 7:03:43 PM EST","2026","Design / Graphic Design","N/A","Management","Midterm Presentation","Design / Graphic Design","Presentation/Slide deck","7","Google/internet","At home/private setting","No","No","3","Ndioro"
"2025/10/25 10:27:00 AM EST","2028","Business Administration","N/A","N/A","Intro to Sociology","Sociology","Research Paper","4","Textbook / class materials","School/library","No","No","3","Ndioro"
"2025/10/30 12:06:23 PM EST","2026","Finance","Data Science","History","Mediterranean Worlds","History","Creative Writing/Essay","5","Textbook / class materials","School/library","No","No","3","Kyle"
"2025/10/30 2:23:52 PM EST","2027","Finance","Data Science","Mathematics","STAT UB 14","Statistics","Problem Set","2.5","AI / Chatgpt","At home/private setting","No","Yes","3","Raj"
"2025/10/30 2:25:09 PM EST","2027","Finance","Data Science","Mathematics","Economics of Global Business","Economics","Problem Set","2","Google/internet","At home/private setting","No","Yes","3","Raj"
"2025/10/30 2:26:04 PM EST","2027","Finance","Data Science","Mathematics","Projects in Programming","Data Science","Coding Assignment","1","AI / Chatgpt","Other public setting (cafe, etc.)","No","No","1","Raj"
"2025/10/30 2:27:28 PM EST","2027","Finance","Data Science","Mathematics","Financial Statement Analysis","Accounting","Modeling (financial, statistics, data)","1","Textbook / class materials","School/library","No","No","1","Raj"
"2025/10/30 3:30:57 PM EST","2029","Business Administration","Computer Science","N/A","C&C","Business Administration","Creative Writing/Essay","5","AI / Chatgpt","At home/private setting","No","No","5","Ethan"
"2025/10/30 3:32:27 PM EST","2029","Business Administration","Computer Science","N/A","DataBootcamp","Computer Science","Coding Assignment","3","AI / Chatgpt","School/library","No","No","2","Ethan"
"2025/10/30 3:33:59 PM EST","2029","Business Administration","Computer Science","N/A","Data Bootcamp","Computer Science","Research Paper","8","AI / Chatgpt","School/library","Yes","No","3","Ethan"
"2025/10/30 3:35:23 PM EST","2029","Business Administration","Computer Science","N/A","Databases For Business Analytics","Computer Science","Coding Assignment","2","AI / Chatgpt","At home/private setting","No","No","1","Ethan"
"2025/10/30 3:37:08 PM EST","2029","Business Administration","Computer Science","N/A","Calculus II","Mathematics","Problem Set","1","AI / Chatgpt","At home/private setting","No","No","1","Ethan"
"2025/10/30 3:42:59 PM EST","2026","Finance","Data Science","History","NYC Consulting Capstone","Business Administration","Presentation/Slide deck","3","Google/internet","School/library","No","No","2","Kyle"
"2025/11/04 5:33:57 PM EST","2026","Physics","N/A","N/A","Advanced Linear Algebra and Complex Variables ","Mathematics","Problem Set","3","AI / Chatgpt","School/library","No","No","2","Ndioro"
"2025/11/04 5:35:54 PM EST","2026","Physics","N/A","N/A","Numerical Analysis","Applied Mathematics","Problem Set","7","AI / Chatgpt","School/library","No","No","3","Ndioro"
"2025/11/04 5:37:36 PM EST","2026","Physics","N/A","N/A","Analytical Mechanics","Physics","Problem Set","8","Google/internet","School/library","No","No","2","Ndioro"
"2025/11/06 4:18:00 PM EST","2026","Physics","N/A","N/A","Quantum Mechanics","Physics","Problem Set","5","Google/internet","School/library","No","No","2","Ndioro"
"2025/11/06 4:19:46 PM EST","2026","Physics","N/A","N/A","Discrete Math","Mathematics","Problem Set","5","Google/internet","School/library","No","No","2","Ndioro"
